YearsExperience,Salary
8.116262258099887,74273.64419047648
19.063571821788408,126174.70051489188
14.907884894416696,103961.18306014228
12.374511199743695,90367.03752077204
3.964354168406294,42429.16089019434
3.96389588638785,46220.25838996571
2.1035886311957896,38214.74930118001
17.457346769723767,122572.34497971342
12.421185223120967,93824.01756344714
14.453378978124864,93451.69411381065
1.3911053916202465,38575.946805075204
19.428287191077892,125216.02455330789
16.816410175208013,110697.44087451027
5.034443102887247,58230.59695864057
4.4546743769349115,57428.369497154315
4.484685687215243,57079.8290316572
6.780602616231217,59706.92546504289
10.97037220101252,83305.79912580653
9.206955354200199,77691.09392801882
6.533353663762797,67544.49395442578
12.62520499972521,90730.15380939959
3.6503833523887947,47323.62187862489
6.550748322169145,57222.066740815586
7.960875022580142,63823.34199249736
9.665329700123683,82389.2776125894
15.918343266467259,116372.9164751904
4.793801861008835,53608.95869714251
10.770454329858621,88869.93613875323
12.255876808378806,93087.5641671322
1.8825578416799567,36187.19043537416
12.54335218612733,94523.7389581787
4.239958350058539,58889.97458262255
2.235980266720311,41000.7711380518
19.02882520781333,132967.3443181367
19.347008628416628,113636.31762163443
16.35954961421276,115907.26059293993
6.787661614294043,64373.54341266107
2.8557701661212933,42783.81407827713
14.00042750373098,100460.94140133241
9.362897381052425,66876.64233225767
3.3187264620507975,45495.27287106643
10.408361292114133,83827.3693181294
1.6533819011891495,45656.37972965333
18.27708763949686,118794.08710611606
5.916819650400321,55541.630237535675
13.587923402725657,95430.8317957056
6.9225104456988085,69189.56281700442
10.881292402378406,86050.21756019045
11.387495307522313,84288.67551877638
4.512234654985013,55127.510440491846
